id,date_en,dob,sex,paid
10063751,10/21/06,04/27/47,F,450
10062521,09/05/08,05/31/49,M,268
10060334,11/01/06,01/27/53,M,449
10064263,05/24/05,07/11/56,M,650
10060468,12/14/09,09/01/64,F,380
10061779,02/17/06,12/07/43,F,472
10061782,01/19/07,08/10/48,M,685
10063230,04/08/05,03/11/66,F,256
10062211,05/17/09,07/09/46,M,320
10060165,03/13/09,11/19/34,M,452
10063496,07/05/07,04/04/58,M,564
10060667,08/07/03,03/29/53,F,334
10060732,11/03/08,09/28/51,M,610
10060732,01/22/09,09/28/51,M,368
10060732,12/08/00,09/28/51,M,849
10122718,01/09/03,09/01/46,M,250
10122726,09/27/07,11/22/64,F,480
10123955,03/01/00,09/06/40,M,672
10123784,05/06/05,03/16/58,F,185
10121559,02/24/06,02/14/51,M,356
10060732,01/09/09,09/28/51,M,620
11390971,01/05/09,12/09/67,F,352
10383974,07/18/03,04/20/41,M,764
10591278,01/10/07,12/28/42,M,234
10590213,03/21/05,12/22/39,M,450
10590858,08/14/09,07/13/56,F,268
10591348,01/24/10,12/20/62,F,449
10592961,02/15/08,01/24/49,M,650
10592209,10/02/09,12/08/56,M,380
10590858,11/18/09,07/13/56,F,472
10593721,09/01/00,01/12/39,F,685
10592636,04/25/04,08/23/55,M,256
10590623,05/18/04,03/29/44,M,320
10590623,06/05/04,03/29/44,M,452
10592096,12/30/03,08/14/48,F,564
10592638,05/05/03,08/11/43,M,334
10673003,04/11/09,01/14/65,F,610
10673917,04/23/02,11/27/32,M,368
10673917,05/10/02,11/27/32,M,849
10822417,05/29/02,02/02/38,F,250
10821370,03/19/99,11/27/42,M,480
10821704,08/29/04,01/03/52,M,672
10823284,07/27/03,11/05/43,M,185
10821786,09/08/02,03/28/48,F,356
10824146,02/26/03,06/12/45,F,620
10971053,11/28/03,12/30/61,M,352
10971194,01/30/99,12/12/40,F,764
10971866,03/18/05,02/17/63,M,234
10973382,09/08/06,10/16/37,M,450
10971130,06/20/02,07/25/33,M,268
10970673,03/04/00,12/03/42,F,449
10970673,02/10/03,12/03/42,F,650
10973878,01/16/03,03/31/43,M,380
10973878,04/17/05,03/31/43,M,472
10973786,04/29/05,03/18/53,M,685
10973271,01/10/03,02/05/55,M,256
10973271,08/05/06,02/05/55,M,320
10973271,09/17/06,02/05/55,M,452
10973271,10/08/06,02/05/55,M,564
10971979,05/30/03,09/23/45,M,334
10971979,03/05/05,09/23/45,M,610
10971838,03/12/06,07/15/47,M,368
10974042,11/13/04,08/14/49,F,849
10974042,06/29/05,08/14/49,M,250
10971194,04/06/00,12/12/40,F,480
10971902,04/28/04,12/11/42,M,672
10971902,05/20/05,12/11/42,M,185
10974110,12/06/01,05/05/32,F,356
10974110,09/08/02,05/05/32,M,620
10974110,12/07/02,05/05/32,M,352
10971573,07/12/04,02/11/46,F,764
10971573,08/05/04,02/11/46,F,234
